'Velocity (m/s)', 'Force parallel v (N)', 'Force normal v (N)', "Particles per tick", 'Time to complete (s)', 'Time of completion','Angular velocity (rad/s)'
47,1.5343156343178805,0.06644115257336966,55,12,Sat Apr 25 22:31:37 2026,0.0
47,1.528640223415144,0.04123797592031946,55,11,Sat Apr 25 22:31:50 2026,0.0
47,1.4374238296096016,0.008522465868034125,55,12,Sat Apr 25 22:32:25 2026,0.0
47,1.5066885179669793,-0.0058840369891857815,55,11,Sat Apr 25 22:34:03 2026,1.0
47,1.4335103697979037,0.05941921967286132,55,11,Sat Apr 25 22:34:15 2026,1.0
47,1.5873320524202053,0.0465433796524795,55,11,Sat Apr 25 22:34:27 2026,1.0
47,1.5360102215828109,0.10934188379494768,55,16,Sat Apr 25 22:34:45 2026,1.0
47,1.5806447119984801,0.11042558694266569,55,11,Sat Apr 25 22:35:03 2026,1.0
47,1.42712782579814,0.10721106480454747,55,11,Sat Apr 25 22:35:30 2026,1.0
46,1.5365468195830518,-0.060332512157922,55,11,Sat Apr 25 22:37:17 2026,0.0
46,1.5010286623293099,0.060046816780939975,55,12,Sat Apr 25 22:38:06 2026,0.0
46,1.4075071959189054,0.01219872317336045,55,11,Sat Apr 25 22:38:37 2026,0.0
46,1.3711666893072916,0.11410017668477375,55,9,Sat Apr 25 22:40:00 2026,1.0
46,1.5095581092009194,0.10447647413189466,55,12,Sat Apr 25 22:41:16 2026,1.0
46,1.4092253306985096,0.053811597239257436,55,11,Sat Apr 25 22:41:50 2026,1.0
46,1.4070665068578672,0.05669359157464714,55,11,Sat Apr 25 22:43:49 2026,1.0
46,1.4483992300478097,0.08994254127561058,55,12,Sat Apr 25 22:44:44 2026,1.0
46,1.3903330026051666,0.07866486133821407,55,11,Sat Apr 25 22:44:59 2026,1.0
45,1.4813876506632393,-0.036937379408676196,55,19,Sun Apr 26 12:52:20 2026,0.0
45,1.4029703233030673,-0.0063090416742765856,55,21,Sun Apr 26 12:53:02 2026,0.0
45,1.3545644033286393,0.02078644692426045,55,24,Sun Apr 26 13:09:06 2026,0.0
45,1.4352480434447492,0.060715797964976725,55,26,Sun Apr 26 13:18:36 2026,1.0
45,1.4485511363463563,-0.045390723628100496,55,23,Sun Apr 26 13:27:21 2026,1.0
45,1.4482202835359161,0.05766703933746151,55,24,Sun Apr 26 13:33:45 2026,1.0
45,1.4399478839371347,0.06490224389264702,55,28,Sun Apr 26 13:38:07 2026,1.0
45,1.3524161624940307,0.05736401639875032,55,55,Sun Apr 26 13:45:30 2026,1.0
45,1.3718918148367771,0.13691977230191368,55,50,Sun Apr 26 13:48:19 2026,1.0
44,1.3794179508585598,0.00302515731036088,55,32,Sun Apr 26 14:02:28 2026,0.0
44,1.3480328142725508,0.01986613995138244,55,25,Sun Apr 26 14:02:56 2026,0.0
44,1.3957283932938287,0.05058705682940152,55,26,Sun Apr 26 14:07:32 2026,0.0
44,1.3912107066959967,0.13576846556759423,55,55,Sun Apr 26 14:11:47 2026,1.0
44,1.4132472467039712,0.07838216192381404,55,60,Sun Apr 26 14:12:48 2026,1.0
44,1.3327917240134919,0.03536806577280844,55,62,Sun Apr 26 14:13:53 2026,1.0
44,1.4170087572178334,0.14093846764693346,55,40,Sun Apr 26 14:17:41 2026,1.0
44,1.4223789533460967,0.01669844781432198,55,39,Sun Apr 26 14:20:10 2026,1.0
44,1.2950889845873041,0.02240762101605687,55,27,Sun Apr 26 14:22:44 2026,1.0
43,1.3735278870500873,0.010882506121125351,55,22,Sun Apr 26 14:36:32 2026,0.0
43,1.4104973314531954,0.03113971828717337,55,19,Sun Apr 26 14:37:31 2026,0.0
43,1.3495013792475472,0.03198066091613827,55,24,Sun Apr 26 14:38:00 2026,0.0
43,1.418736596230965,0.10101644314672989,55,18,Thu Apr 30 20:09:32 2026,1.0
43,1.2393506071647677,0.1304746566383622,55,12,Thu Apr 30 20:09:47 2026,1.0
43,1.4078753732971208,0.10111133341492617,55,15,Thu Apr 30 20:10:04 2026,1.0
43,1.3800618110397687,0.06589256132973996,55,14,Thu Apr 30 20:10:20 2026,1.0
43,1.3114177151083446,0.09479463479841202,55,14,Thu Apr 30 20:10:47 2026,1.0
43,1.296377070763098,0.09520170151745622,55,14,Thu Apr 30 20:11:53 2026,1.0
42,1.3914930858032768,0.055595402220038684,55,11,Thu Apr 30 20:15:25 2026,0.0
42,1.3093051096117554,0.06810420301233942,55,12,Thu Apr 30 20:16:04 2026,0.0
42,1.3096744380478598,-0.0038017125406128913,55,12,Thu Apr 30 20:18:25 2026,0.0
42,1.3461454855629746,0.03052879030656882,55,17,Thu Apr 30 20:24:03 2026,1.0
42,1.3398842007769267,0.045465336542143416,55,12,Thu Apr 30 20:25:01 2026,1.0
42,1.3132329139392498,-0.003361267592128702,55,13,Thu Apr 30 20:26:18 2026,1.0
42,1.2813363331345764,0.08116800125773505,55,12,Thu Apr 30 20:26:32 2026,1.0
42,1.2710301970381035,0.10505851642369964,55,13,Thu Apr 30 20:27:03 2026,1.0
42,1.332750292011794,-0.01642449956472265,55,12,Thu Apr 30 20:27:19 2026,1.0
